utc,filter,pm,lat,lon,device
1405628090,,0.005,37.804825,-122.299298333,A
1405628091,,0.005,37.80483,-122.299301667,A
1405628092,,0.005,37.80483,-122.299296667,A
1405628093,,0.005,37.804835,-122.299288333,A
1405628094,,0.004,37.8048383333,-122.299283333,A
1405628095,,0.004,37.8048433333,-122.299276667,A
1405628096,,0.005,37.8048533333,-122.299286667,A
1405628097,,0.006,37.8048716667,-122.299283333,A
1405628098,,0.005,37.8048783333,-122.299273333,A
1405628099,,0.005,37.8048883333,-122.299255,A
1405628100,,0.005,37.8048883333,-122.29925,A
1405628101,,0.005,37.8049016667,-122.29924,A
1405628102,,0.006,37.8049166667,-122.299228333,A
1405628103,,0.006,37.8049183333,-122.29923,A
1405628104,,0.006,37.80492,-122.299235,A
1405628105,,0.005,37.8049266667,-122.299231667,A
1405628106,,0.005,37.8049366667,-122.299226667,A
1405628107,,0.005,37.8049466667,-122.29922,A
1405628108,,0.005,37.8049583333,-122.29921,A
1405628109,,0.005,37.804965,-122.299215,A
1405628110,,0.005,37.8049716667,-122.299208333,A
1405628111,,0.005,37.8049766667,-122.299213333,A
1405628112,,0.006,37.804985,-122.299205,A
1405628113,,0.005,37.804995,-122.299195,A
1405628114,,0.005,37.805,-122.299188333,A
1405628115,,0.005,37.8050116667,-122.299181667,A
1405628116,,0.005,37.80502,-122.299173333,A
1405628117,,0.005,37.8050266667,-122.299168333,A
1405628118,,0.005,37.8050383333,-122.29917,A
1405628119,,0.006,37.805045,-122.299168333,A
1405628120,,0.006,37.8050533333,-122.299163333,A
1405628121,,0.006,37.8050516667,-122.299166667,A
1405628122,,0.006,37.805055,-122.299161667,A
1405628123,,0.005,37.8050566667,-122.29916,A
1405628124,,0.005,37.8050616667,-122.29915,A
1405628125,,0.006,37.8050766667,-122.299133333,A
1405628126,,0.006,37.805085,-122.299126667,A
1405628127,,0.005,37.805095,-122.299118333,A
1405628128,,0.005,37.8051016667,-122.299111667,A
1405628129,,0.006,37.80511,-122.299108333,A
1405628130,,0.005,37.8051116667,-122.299101667,A
1405628131,,0.004,37.80511,-122.299103333,A
1405628132,,0.005,37.80512,-122.299095,A
1405628133,,0.006,37.80513,-122.299091667,A
1405628134,,0.006,37.805125,-122.2991,A
1405628135,,0.005,37.8051233333,-122.299098333,A
1405628136,,0.005,37.8051233333,-122.29909,A
1405628137,,0.005,37.8051283333,-122.299081667,A
1405628138,,0.005,37.8051316667,-122.299081667,A
1405628139,,0.005,37.8051366667,-122.299078333,A
1405628140,,0.004,37.8051466667,-122.299066667,A
1405628141,,0.005,37.8051616667,-122.299053333,A
1405628142,,0.005,37.805175,-122.299041667,A
1405628143,,0.004,37.80518,-122.299038333,A
1405628144,,0.004,37.80518,-122.299033333,A
1405628145,,0.004,37.8051866667,-122.299023333,A
1405628146,,0.004,37.8051983333,-122.29901,A
1405628147,,0.006,37.8052016667,-122.299006667,A
1405628148,,0.006,37.8052166667,-122.298991667,A
1405628149,,0.005,37.80523,-122.298976667,A
1405628150,,0.005,37.8052416667,-122.298963333,A
1405628151,,0.005,37.80525,-122.298956667,A
1405628152,,0.005,37.8052583333,-122.298946667,A
1405628153,,0.005,37.8052666667,-122.298936667,A
1405628154,,0.005,37.8052716667,-122.298941667,A
1405628155,,0.005,37.805275,-122.298936667,A
1405628156,,0.005,37.8052866667,-122.29894,A
1405628157,,0.005,37.80529,-122.298946667,A
1405628158,,0.005,37.8052966667,-122.298945,A
1405628159,,0.005,37.8052933333,-122.29895,A
1405628160,,0.004,37.8052983333,-122.298946667,A
1405628161,,0.004,37.8053066667,-122.29894,A
1405628162,,0.005,37.80531,-122.298943333,A
1405628163,,0.005,37.805315,-122.298938333,A
1405628164,,0.005,37.80533,-122.29892,A
1405628165,,0.004,37.8053416667,-122.298908333,A
1405628166,,0.004,37.8053466667,-122.298905,A
1405628167,,0.005,37.8053533333,-122.298898333,A
1405628168,,0.006,37.8053633333,-122.298893333,A
1405628169,,0.006,37.80537,-122.298891667,A
1405628170,,0.005,37.80538,-122.298885,A
1405628171,,0.005,37.8053933333,-122.298876667,A
1405628172,,0.005,37.805395,-122.29888,A
1405628173,,0.006,37.8053983333,-122.298875,A
1405628174,,0.006,37.8054016667,-122.298873333,A
1405628175,,0.005,37.8053966667,-122.298873333,A
1405628176,,0.005,37.8053966667,-122.298873333,A
1405628177,,0.005,37.805405,-122.298868333,A
1405628178,,0.005,37.8054166667,-122.298861667,A
1405628179,,0.005,37.8054283333,-122.298846667,A
1405628180,,0.005,37.805435,-122.29883,A
1405628181,,0.005,37.8054516667,-122.298816667,A
1405628182,,0.006,37.8054616667,-122.298805,A
1405628183,,0.006,37.805475,-122.298798333,A
1405628184,,0.005,37.8054833333,-122.2988,A
1405628185,,0.005,37.8054833333,-122.29881,A
1405628186,,0.005,37.8054933333,-122.298805,A
1405628187,,0.006,37.8055033333,-122.298795,A
1405628188,,0.005,37.8055133333,-122.298791667,A
1405628189,,0.005,37.80552,-122.298785,A
1405628190,,0.005,37.8055266667,-122.298781667,A
1405628191,,0.005,37.8055233333,-122.298773333,A
1405628192,,0.005,37.805525,-122.298763333,A
1405628193,,0.006,37.8055316667,-122.298756667,A
1405628194,,0.005,37.8055383333,-122.298758333,A
1405628195,,0.004,37.80555,-122.298745,A
1405628196,,0.005,37.8055566667,-122.298745,A
1405628197,,0.005,37.8055616667,-122.298743333,A
1405628198,,0.005,37.805565,-122.298743333,A
1405628199,,0.005,37.80557,-122.298741667,A
1405628200,,0.005,37.8055733333,-122.29874,A
1405628201,,0.006,37.8055783333,-122.298735,A
1405628202,,0.006,37.8055883333,-122.298726667,A
1405628203,,0.005,37.8056,-122.298716667,A
1405628204,,0.006,37.8056133333,-122.298705,A
1405628205,,0.006,37.8056183333,-122.298698333,A
1405628206,,0.005,37.8056183333,-122.298693333,A
1405628207,,0.004,37.8056183333,-122.298696667,A
1405628208,,0.004,37.805615,-122.298693333,A
1405628209,,0.005,37.8056166667,-122.298696667,A
1405628210,,0.005,37.80562,-122.298696667,A
1405628211,,0.005,37.80562,-122.298695,A
1405628212,,0.005,37.80562,-122.298691667,A
1405628213,,0.005,37.805615,-122.298691667,A
1405628214,,0.005,37.80561,-122.298691667,A
1405628215,,0.005,37.8056133333,-122.29869,A
1405628216,,0.004,37.8056133333,-122.298695,A
1405628217,,0.005,37.805615,-122.298698333,A
1405628218,,0.005,37.80562,-122.2987,A
1405628219,,0.005,37.8056233333,-122.298703333,A
1405628220,,0.005,37.8056366667,-122.298693333,A
1405628221,,0.005,37.8056383333,-122.298693333,A
1405628222,,0.005,37.8056466667,-122.298685,A
1405628223,,0.005,37.8056566667,-122.298673333,A
1405628224,,0.005,37.8056666667,-122.298663333,A
1405628225,,0.005,37.8056733333,-122.298656667,A
1405628226,,0.004,37.80568,-122.298655,A
1405628227,,0.004,37.805675,-122.29865,A
1405628228,,0.005,37.8056733333,-122.298646667,A
1405628229,,0.005,37.8056766667,-122.298645,A
1405628230,,0.005,37.805675,-122.298643333,A
1405628231,,0.006,37.805675,-122.298636667,A
1405628232,,0.005,37.805675,-122.298633333,A
1405628233,,0.005,37.8056733333,-122.298643333,A
1405628234,,0.005,37.8056716667,-122.298653333,A
1405628235,,0.004,37.8056766667,-122.298666667,A
1405628236,,0.005,37.80569,-122.29866,A
1405628237,,0.005,37.8056983333,-122.298653333,A
1405628238,,0.005,37.8056983333,-122.298655,A
1405628239,,0.005,37.805705,-122.298646667,A
1405628240,,0.004,37.805705,-122.298638333,A
1405628241,,0.004,37.805705,-122.29863,A
1405628242,,0.005,37.8057,-122.298633333,A
1405628243,,0.005,37.8056833333,-122.298648333,A
1405628244,,0.005,37.8056716667,-122.298658333,A
1405628245,,0.006,37.8056716667,-122.298656667,A
1405628246,,0.005,37.805675,-122.298665,A
1405628247,,0.005,37.80567,-122.298661667,A
1405628248,,0.006,37.8057016667,-122.298653333,A
1405628249,,0.006,37.8057133333,-122.298641667,A
1405628250,,0.007,37.8057383333,-122.29863,A
1405628251,,0.006,37.8057533333,-122.298625,A
1405628252,,0.006,37.8057533333,-122.298625,A
1405628253,,0.005,37.805765,-122.298633333,A
1405628254,,0.006,37.8057833333,-122.298645,A
1405628255,,0.006,37.8058066667,-122.298648333,A
1405628256,,0.005,37.8058066667,-122.298635,A
1405628257,,0.005,37.8058183333,-122.29862,A
1405628258,,0.006,37.8058183333,-122.298606667,A
1405628259,,0.006,37.8058233333,-122.298606667,A
1405628260,,0.006,37.80583,-122.29861,A
1405628261,,0.006,37.8058333333,-122.298616667,A
1405628262,,0.005,37.8058183333,-122.29861,A
1405628263,,0.005,37.8058183333,-122.298603333,A
1405628264,,0.006,37.8058133333,-122.298598333,A
1405628265,,0.005,37.80582,-122.298583333,A
1405628266,,0.005,37.80583,-122.298568333,A
1405628267,,0.006,37.805825,-122.29858,A
1405628268,,0.006,37.805815,-122.298581667,A
1405628269,,0.006,37.80582,-122.298571667,A
1405628270,,0.006,37.80583,-122.298568333,A
1405628271,,0.005,37.8058466667,-122.298568333,A
1405628272,,0.005,37.8058566667,-122.298556667,A
1405628273,,0.006,37.8058616667,-122.29856,A
1405628274,,0.006,37.8058666667,-122.298553333,A
1405628275,,0.006,37.80586,-122.298543333,A
1405628276,,0.006,37.8058666667,-122.298541667,A
1405628277,,0.006,37.8058616667,-122.298545,A
1405628278,,0.006,37.8058566667,-122.298555,A
1405628279,,0.007,37.8058666667,-122.298561667,A
1405628280,,0.006,37.8058683333,-122.298566667,A
1405628281,,0.005,37.8058666667,-122.298565,A
1405628282,,0.005,37.805865,-122.298566667,A
1405628283,,0.005,37.8058716667,-122.29856,A
1405628284,,0.007,37.8058866667,-122.298555,A
1405628285,,0.009,37.8058916667,-122.298543333,A
1405628286,,0.005,37.8058933333,-122.29854,A
